"Kod";"Nazwa";"gminy łącznie z miastami na prawach powiatu;ogółem;2011;[zł]";
0618102;"Telatyn (2)";2395,12;
0618112;"Tomaszów Lubelski (2)";2234,69;
0618123;"Tyszowce (3)";2708,53;
0618132;"Ulhówek (2)";2884,55;
0619000;"Powiat włodawski";3183,32;
0619011;"Włodawa (1)";2947,86;
0619022;"Hanna (2)";2902,08;
0619032;"Hańsk (2)";3407,36;
0619042;"Stary Brus (2)";3478,35;
0619052;"Urszulin (2)";3606,48;
0619062;"Włodawa (2)";3470,70;
0619072;"Wola Uhruska (2)";3013,89;
0619082;"Wyryki (2)";3120,88;
0620000;"Powiat zamojski";2604,04;
0620012;"Adamów (2)";2519,74;
0620022;"Grabowiec (2)";2433,12;
0620032;"Komarów-Osada (2)";3208,38;
0620043;"Krasnobród (3)";3123,62;
0620052;"Łabunie (2)";3130,53;
0620062;"Miączyn (2)";2512,98;
0620072;"Nielisz (2)";2399,21;
0620082;"Radecznica (2)";2315,12;
0620092;"Sitno (2)";2454,37;
0620102;"Skierbieszów (2)";3259,59;
0620112;"Stary Zamość (2)";2687,28;
0620122;"Sułów (2)";2428,23;
0620133;"Szczebrzeszyn (3)";2296,94;
0620142;"Zamość (2)";2352,33;
0620153;"Zwierzyniec (3)";2775,35;
0661000;"Powiat m.Biała Podlaska";3653,84;
0661011;"Biała Podlaska (1)";3653,84;
0662000;"Powiat m.Chełm";3621,31;
0662011;"Chełm (1)";3621,31;
0663000;"Powiat m.Lublin";3987,99;
0663011;"Lublin (1)";3987,99;
0664000;"Powiat m.Zamość";4678,42;
0664011;"Zamość (1)";4678,42;
0800000;"LUBUSKIE";3070,46;
0801000;"Powiat gorzowski";3173,75;
0801011;"Kostrzyn nad Odrą (1)";3528,37;
0801022;"Bogdaniec (2)";2536,84;
0801032;"Deszczno (2)";2657,43;
0801042;"Kłodawa (2)";2924,30;
0801052;"Lubiszyn (2)";3328,28;
0801062;"Santok (2)";2864,22;
0801073;"Witnica (3)";3609,47;
0802000;"Powiat krośnieński";2792,46;
0802011;"Gubin (1)";3023,19;
0802022;"Bobrowice (2)";3396,14;
0802032;"Bytnica (2)";2686,40;
0802042;"Dąbie (2)";3307,58;
0802052;"Gubin (2)";2560,91;
0802063;"Krosno Odrzańskie (3)";2455,04;
0802072;"Maszewo (2)";2718,58;
0803000;"Powiat międzyrzecki";2944,53;
0803012;"Bledzew (2)";2850,27;
0803023;"Międzyrzecz (3)";2817,85;
0803032;"Przytoczna (2)";3168,74;
0803042;"Pszczew (2)";3828,20;
0803053;"Skwierzyna (3)";2999,84;
0803063;"Trzciel (3)";2621,80;
0804000;"Powiat nowosolski";2769,85;
0804011;"Nowa Sól (1)";2657,70;
0804023;"Bytom Odrzański (3)";2816,69;
0804032;"Kolsko (2)";3088,06;
0804043;"Kożuchów (3)";2692,86;
0804052;"Nowa Sól (2)";2500,07;
0804063;"Nowe Miasteczko (3)";3519,10;
0804072;"Otyń (2)";2751,49;
0804082;"Siedlisko (2)";3384,02;
0805000;"Powiat słubicki";3050,53;
0805013;"Cybinka (3)";2781,43;
0805022;"Górzyca (2)";4171,85;
0805033;"Ośno Lubuskie (3)";3289,58;
0805043;"Rzepin (3)";2738,62;
0805053;"Słubice (3)";2979,68;
0806000;"Powiat strzelecko-drezdenecki";2848,25;
0806013;"Dobiegniew (3)";3376,36;
0806023;"Drezdenko (3)";2497,97;
0806032;"Stare Kurowo (2)";3183,94;
0806043;"Strzelce Krajeńskie (3)";2523,09;
0806052;"Zwierzyn (2)";4381,74;
0807000;"Powiat sulęciński";2811,83;
0807012;"Krzeszyce (2)";2695,02;
0807023;"Lubniewice (3)";3035,76;
0807032;"Słońsk (2)";3353,72;
0807043;"Sulęcin (3)";2571,07;
0807053;"Torzym (3)";2978,98;
0808000;"Powiat świebodziński";3105,39;
0808012;"Lubrza (2)";6514,79;
0808022;"Łagów (2)";3874,87;
0808032;"Skąpe (2)";3188,18;
0808042;"Szczaniec (2)";2762,26;
0808053;"Świebodzin (3)";2556,17;
0808063;"Zbąszynek (3)";3302,57;
0809000;"Powiat zielonogórski";2803,96;
0809013;"Babimost (3)";3964,13;
0809022;"Bojadła (2)";2587,22;
0809033;"Czerwieńsk (3)";3257,49;
0809043;"Kargowa (3)";2840,37;
0809053;"Nowogród Bobrzański (3)";2484,25;
0809063;"Sulechów (3)";2409,17;
0809072;"Świdnica (2)";3161,76;
0809082;"Trzebiechów (2)";2858,71;
0809092;"Zabór (2)";2841,17;
0809102;"Zielona Góra (2)";2790,40;
0810000;"Powiat żagański";2751,39;
0810011;"Gozdnica (1)";3062,57;
0810021;"Żagań (1)";2472,22;
0810032;"Brzeźnica (2)";2940,96;
0810043;"Iłowa (3)";2879,68;
0810053;"Małomice (3)";3045,04;
0810062;"Niegosławice (2)";3261,79;
0810073;"Szprotawa (3)";2792,93;
0810082;"Wymiarki (2)";3483,19;
0810092;"Żagań (2)";2484,74;
0811000;"Powiat żarski";2772,05;
0811011;"Łęknica (1)";3967,84;
0811021;"Żary (1)";2862,90;
0811032;"Brody (2)";2963,66;
0811043;"Jasień (3)";2882,95;
0811052;"Lipinki Łużyckie (2)";2745,37;
0811063;"Lubsko (3)";2701,54;
0811072;"Przewóz (2)";2967,93;
0811082;"Trzebiel (2)";2570,36;
0811092;"Tuplice (2)";2592,19;
0811102;"Żary (2)";2301,99;
0812000;"Powiat wschowski";2836,15;
0812013;"Sława (3)";3145,15;
0812023;"Szlichtyngowa (3)";3081,77;
0812033;"Wschowa (3)";2600,56;
0861000;"Powiat m.Gorzów Wielkopolski";3442,65;
0861011;"Gorzów Wielkopolski (1)";3442,65;
0862000;"Powiat m.Zielona Góra";3961,00;
0862011;"Zielona Góra (1)";3961,00;
1000000;"ŁÓDZKIE";3190,67;
1001000;"Powiat bełchatowski";4697,57;
1001011;"Bełchatów (1)";2675,76;
1001022;"Bełchatów (2)";2607,18;
1001032;"Drużbice (2)";2870,25;
1001042;"Kleszczów (2)";44563,21;
1001052;"Kluki (2)";2740,27;
1001062;"Rusiec (2)";2998,41;
1001072;"Szczerców (2)";5283,64;
1001083;"Zelów (3)";3060,13;
1002000;"Powiat kutnowski";2789,68;
1002011;"Kutno (1)";2928,82;
1002022;"Bedlno (2)";2469,32;
1002032;"Dąbrowice (2)";2810,92;
1002043;"Krośniewice (3)";3417,83;
1002052;"Krzyżanów (2)";2643,77;
1002062;"Kutno (2)";2513,74;
1002072;"Łanięta (2)";3120,39;
1002082;"Nowe Ostrowy (2)";3444,23;
1002092;"Oporów (2)";2356,95;
1002102;"Strzelce (2)";2533,66;
1002113;"Żychlin (3)";2141,90;
1003000;"Powiat łaski";2564,10;
1003012;"Buczek (2)";3145,81;
1003023;"Łask (3)";2385,67;
1003032;"Sędziejowice (2)";2688,85;
1003042;"Widawa (2)";2680,71;
1003052;"Wodzierady (2)";2721,12;
1004000;"Powiat łęczycki";2601,23;
1004011;"Łęczyca (1)";2770,18;
1004022;"Daszyna (2)";2891,14;
1004032;"Góra Świętej Małgorzaty (2)";2230,99;
1004042;"Grabów (2)";2698,51;
1004052;"Łęczyca (2)";2403,12;
1004062;"Piątek (2)";2512,98;
1004072;"Świnice Warckie (2)";2641,73;
1004082;"Witonia (2)";2430,09;
1005000;"Powiat łowicki";2635,73;
1005011;"Łowicz (1)";2920,11;
1005022;"Bielawy (2)";2509,93;
1005032;"Chąśno (2)";2847,73;
1005042;"Domaniewice (2)";2354,54;
1005052;"Kiernozia (2)";3006,66;
1005062;"Kocierzew Południowy (2)";2438,22;
1005072;"Łowicz (2)";2395,49;
1005082;"Łyszkowice (2)";2532,33;
1005092;"Nieborów (2)";2306,25;
1005102;"Zduny (2)";2312,65;
1006000;"Powiat łódzki wschodni";2726,74;
1006022;"Andrespol (2)";2482,09;
1006032;"Brójce (2)";2492,24;
1006073;"Koluszki (3)";2197,09;
1006082;"Nowosolna (2)";4335,68;
1006103;"Rzgów (3)";3468,63;
1006113;"Tuszyn (3)";2976,78;
1007000;"Powiat opoczyński";3108,99;
1007012;"Białaczów (2)";3413,41;
1007023;"Drzewica (3)";2442,15;
1007032;"Mniszków (2)";3219,54;
1007043;"Opoczno (3)";2736,93;
1007052;"Paradyż (2)";3625,69;
1007062;"Poświętne (2)";2517,61;
1007072;"Sławno (2)";5623,90;
1007082;"Żarnów (2)";2920,40;
1008000;"Powiat pabianicki";2787,70;
1008011;"Konstantynów Łódzki (1)";2722,47;
1008021;"Pabianice (1)";2784,30;
1008032;"Dłutów (2)";3049,35;
1008042;"Dobroń (2)";2437,81;
1008052;"Ksawerów (2)";2889,17;
1008062;"Lutomiersk (2)";2325,35;
1008072;"Pabianice (2)";3664,69;
1009000;"Powiat pajęczański";3268,25;
1009013;"Działoszyn (3)";3126,56;
1009022;"Kiełczygłów (2)";2535,82;
1009032;"Nowa Brzeźnica (2)";2529,75;
1009043;"Pajęczno (3)";2391,35;
1009052;"Rząśnia (2)";8657,73;
1009062;"Siemkowice (2)";2676,77;
1009072;"Strzelce Wielkie (2)";2352,23;
1009082;"Sulmierzyce (2)";3246,89;
1010000;"Powiat piotrkowski";2890,00;
1010012;"Aleksandrów (2)";2960,35;
1010022;"Czarnocin (2)";2793,28;
1010032;"Gorzkowice (2)";2571,50;
1010042;"Grabica (2)";2926,13;
1010052;"Łęki Szlacheckie (2)";2639,40;
1010062;"Moszczenica (2)";2647,64;
1010072;"Ręczno (2)";2654,03;
1010082;"Rozprza (2)";2311,03;
1010093;"Sulejów (3)";2847,73;
1010102;"Wola Krzysztoporska (2)";3361,05;
1010113;"Wolbórz (3)";4151,25;
1011000;"Powiat poddębicki";3749,66;
1011012;"Dalików (2)";3005,09;
1011022;"Pęczniew (2)";3042,67;
1011033;"Poddębice (3)";2492,33;
1011043;"Uniejów (3)";7639,06;
1011052;"Wartkowice (2)";3879,32;
1011062;"Zadzim (2)";3040,57;
1012000;"Powiat radomszczański";2832,38;
1012011;"Radomsko (1)";2777,24;
1012022;"Dobryszyce (2)";2822,47;
1012032;"Gidle (2)";2594,76;
1012042;"Gomunice (2)";2253,29;
1012053;"Kamieńsk (3)";4700,04;
1012062;"Kobiele Wielkie (2)";2454,86;
1012072;"Kodrąb (2)";2521,51;
1012082;"Lgota Wielka (2)";3018,61;
1012092;"Ładzice (2)";2462,37;
1012102;"Masłowice (2)";2404,31;
1012113;"Przedbórz (3)";3037,08;
1012122;"Radomsko (2)";2732,15;
1012132;"Wielgomłyny (2)";2838,57;
1012142;"Żytno (2)";3073,35;
1013000;"Powiat rawski";2745,76;
1013011;"Rawa Mazowiecka (1)";3096,31;
1013023;"Biała Rawska (3)";2591,88;
1013032;"Cielądz (2)";2675,85;
1013042;"Rawa Mazowiecka (2)";2259,91;
1013052;"Regnów (2)";3075,01;
1013062;"Sadkowice (2)";2641,86;
1014000;"Powiat sieradzki";2642,44;
1014011;"Sieradz (1)";2474,11;
1014023;"Błaszki (3)";2595,61;
1014032;"Brąszewice (2)";3381,03;
1014042;"Brzeźnio (2)";2667,12;
1014052;"Burzenin (2)";2585,31;
1014062;"Goszczanów (2)";2949,31;
1014072;"Klonowa (2)";3298,18;
1014082;"Sieradz (2)";2407,25;
1014093;"Warta (3)";2584,10;
1014102;"Wróblew (2)";3253,15;
1014113;"Złoczew (3)";2730,77;
1015000;"Powiat skierniewicki";2982,60;
1015012;"Bolimów (2)";3446,34;
1015022;"Głuchów (2)";2725,64;
1015032;"Godzianów (2)";2645,70;
1015042;"Kowiesy (2)";3242,51;
1015052;"Lipce Reymontowskie (2)";2842,32;
1015062;"Maków (2)";3213,61;
1015072;"Nowy Kawęczyn (2)";3724,71;
1015082;"Skierniewice (2)";2758,85;
1015092;"Słupia (2)";2222,69;
1016000;"Powiat tomaszowski";2582,47;
1016011;"Tomaszów Mazowiecki (1)";2370,47;
1016022;"Będków (2)";2809,93;
1016032;"Budziszewice (2)";3116,53;
1016042;"Czerniewice (2)";2458,50;
1016052;"Inowłódz (2)";3487,28;
1016062;"Lubochnia (2)";2985,87;
1016072;"Rokiciny (2)";2858,06;
1016082;"Rzeczyca (2)";2957,14;
1016092;"Tomaszów Mazowiecki (2)";2272,28;
1016102;"Ujazd (2)";3054,19;
1016112;"Żelechlinek (2)";3189,43;
1017000;"Powiat wieluński";2643,24;
1017012;"Biała (2)";2575,23;
1017022;"Czarnożyły (2)";2416,64;
1017032;"Konopnica (2)";3132,99;
1017042;"Mokrsko (2)";3482,15;
1017052;"Osjaków (2)";2929,59;
1017062;"Ostrówek (2)";2927,40;
1017072;"Pątnów (2)";2630,55;
1017082;"Skomlin (2)";2845,26;
1017093;"Wieluń (3)";2179,08;
1017102;"Wierzchlas (2)";3691,54;
1018000;"Powiat wieruszowski";2681,11;
1018012;"Bolesławiec (2)";2952,06;
1018022;"Czastary (2)";2954,48;
1018032;"Galewice (2)";2764,34;
1018042;"Lututów (2)";2721,19;
1018052;"Łubnice (2)";2967,14;
1018062;"Sokolniki (2)";2562,90;
1018073;"Wieruszów (3)";2436,87;
1019000;"Powiat zduńskowolski";2423,67;
1019011;"Zduńska Wola (1)";2418,80;
1019023;"Szadek (3)";2401,49;
1019032;"Zapolice (2)";2558,19;
1019042;"Zduńska Wola (2)";2399,97;
1020000;"Powiat zgierski";2584,19;
1020011;"Głowno (1)";3801,73;
1020021;"Ozorków (1)";2421,45;
1020031;"Zgierz (1)";2277,34;
1020043;"Aleksandrów Łódzki (3)";2363,44;
1020052;"Głowno (2)";2000,47;
1020062;"Ozorków (2)";2669,40;
1020072;"Parzęczew (2)";3245,03;
1020083;"Stryków (3)";3366,78;
1020092;"Zgierz (2)";2457,79;
1021000;"Powiat brzeziński";2518,49;
1021011;"Brzeziny (1)";2478,73;
1021022;"Brzeziny (2)";2305,34;
1021032;"Dmosin (2)";2942,81;
1021042;"Jeżów (2)";2644,29;
1021052;"Rogów (2)";2367,26;
1061000;"Powiat m.Łódź";3775,46;
1061011;"Łódź (1)";3775,46;
1062000;"Powiat m.Piotrków Trybunalski";4112,60;
1062011;"Piotrków Trybunalski (1)";4112,60;
1063000;"Powiat m.Skierniewice";3552,52;
1063011;"Skierniewice (1)";3552,52;
1200000;"MAŁOPOLSKIE";3354,49;
1201000;"Powiat bocheński";2830,42;
1201011;"Bochnia (1)";2438,78;
1201022;"Bochnia (2)";2571,46;
1201032;"Drwinia (2)";2693,10;
1201042;"Lipnica Murowana (2)";2970,76;
1201052;"Łapanów (2)";4100,44;
1201063;"Nowy Wiśnicz (3)";2789,31;
1201072;"Rzezawa (2)";2638,40;
1201082;"Trzciana (2)";3770,08;
1201092;"Żegocina (2)";3744,18;
1202000;"Powiat brzeski";2913,88;
1202012;"Borzęcin (2)";4040,81;
1202023;"Brzesko (3)";2400,19;
1202033;"Czchów (3)";2961,07;
1202042;"Dębno (2)";2245,41;
1202052;"Gnojnik (2)";3251,84;
1202062;"Iwkowa (2)";3095,69;
1202072;"Szczurowa (2)";4409,27;
1203000;"Powiat chrzanowski";2692,27;
1203013;"Alwernia (3)";2061,01;
1203022;"Babice (2)";2195,13;
1203033;"Chrzanów (3)";3148,46;
1203043;"Libiąż (3)";2199,67;
1203053;"Trzebinia (3)";2733,30;
1204000;"Powiat dąbrowski";3078,81;
1204012;"Bolesław (2)";3699,51;
1204023;"Dąbrowa Tarnowska (3)";2949,00;
1204032;"Gręboszów (2)";3519,16;
1204042;"Mędrzechów (2)";2953,93;
1204052;"Olesno (2)";2547,28;
1204062;"Radgoszcz (2)";3609,69;
1204073;"Szczucin (3)";3089,87;
1205000;"Powiat gorlicki";3203,98;
1205011;"Gorlice (1)";3099,56;
1205023;"Biecz (3)";2969,78;
1205033;"Bobowa (3)";4214,50;
1205042;"Gorlice (2)";2920,41;
1205052;"Lipinki (2)";2733,77;
1205062;"Łużna (2)";2797,63;
1205072;"Moszczenica (2)";3350,85;
1205082;"Ropa (2)";3184,33;
1205092;"Sękowa (2)";3523,03;
1205102;"Uście Gorlickie (2)";4206,65;
1206000;"Powiat krakowski";2752,70;
1206012;"Czernichów (2)";2700,62;
1206022;"Igołomia-Wawrzeńczyce (2)";3072,84;
1206032;"Iwanowice (2)";2672,98;
1206042;"Jerzmanowice-Przeginia (2)";2799,85;
1206052;"Kocmyrzów-Luborzyca (2)";2881,27;
1206063;"Krzeszowice (3)";2510,12;
1206072;"Liszki (2)";2173,71;
1206082;"Michałowice (2)";2306,29;
1206092;"Mogilany (2)";2574,18;
1206103;"Skała (3)";2504,49;
1206113;"Skawina (3)";3108,31;
1206123;"Słomniki (3)";2691,13;
1206132;"Sułoszowa (2)";3012,22;
1206143;"Świątniki Górne (3)";2689,61;
1206152;"Wielka Wieś (2)";3254,47;
1206162;"Zabierzów (2)";2907,87;
1206172;"Zielonki (2)";2668,71;
1207000;"Powiat limanowski";3270,92;
1207011;"Limanowa (1)";3083,75;
1207021;"Mszana Dolna (1)";3807,50;
1207032;"Dobra (2)";3067,15;
1207042;"Jodłownik (2)";3984,63;
1207052;"Kamienica (2)";3269,81;
1207062;"Laskowa (2)";4578,28;
1207072;"Limanowa (2)";2926,51;
1207082;"Łukowica (2)";3368,22;
1207092;"Mszana Dolna (2)";2644,38;
1207102;"Niedźwiedź (2)";3469,79;
1207112;"Słopnice (2)";3589,30;
1207122;"Tymbark (2)";3133,66;
1208000;"Powiat miechowski";2670,89;
1208012;"Charsznica (2)";2528,62;
1208022;"Gołcza (2)";2624,68;
1208032;"Kozłów (2)";2751,40;
1208042;"Książ Wielki (2)";3196,26;
1208053;"Miechów (3)";2577,08;
1208062;"Racławice (2)";3152,56;
1208072;"Słaboszów (2)";2368,11;
1209000;"Powiat myślenicki";3450,90;
1209013;"Dobczyce (3)";4316,45;
1209022;"Lubień (2)";2777,37;
1209033;"Myślenice (3)";3847,71;
1209042;"Pcim (2)";3052,85;
1209052;"Raciechowice (2)";3858,38;
1209062;"Siepraw (2)";2937,08;
1209073;"Sułkowice (3)";2731,38;
1209082;"Tokarnia (2)";2992,32;
1209092;"Wiśniowa (2)";3054,89;
1210000;"Powiat nowosądecki";3448,90;
1210011;"Grybów (1)";3448,76;
1210022;"Chełmiec (2)";3175,77;
1210032;"Gródek nad Dunajcem (2)";4270,84;
1210042;"Grybów (2)";2949,52;
1210052;"Kamionka Wielka (2)";3253,53;
1210062;"Korzenna (2)";3360,46;
1210073;"Krynica-Zdrój (3)";5297,42;
1210082;"Łabowa (2)";3792,98;
1210092;"Łącko (2)";3448,93;
1210102;"Łososina Dolna (2)";3274,52;
1210113;"Muszyna (3)";4082,33;
1210122;"Nawojowa (2)";3223,54;
1210133;"Piwniczna-Zdrój (3)";3458,75;
1210142;"Podegrodzie (2)";2952,62;
1210152;"Rytro (2)";3819,66;
1210163;"Stary Sącz (3)";2676,63;
1211000;"Powiat nowotarski";2863,57;
1211011;"Nowy Targ (1)";2483,44;
1211023;"Szczawnica (3)";4210,53;
1211032;"Czarny Dunajec (2)";2800,63;
1211042;"Czorsztyn (2)";3216,25;
1211052;"Jabłonka (2)";3158,84;
1211062;"Krościenko nad Dunajcem (2)";2650,16;
1211072;"Lipnica Wielka (2)";3326,26;
1211082;"Łapsze Niżne (2)";2827,31;
1211092;"Nowy Targ (2)";2784,38;
1211102;"Ochotnica Dolna (2)";3383,56;
1211112;"Raba Wyżna (2)";2447,08;
1211123;"Rabka-Zdrój (3)";2665,31;
1211132;"Spytkowice (2)";3238,63;
1211142;"Szaflary (2)";2936,46;
1212000;"Powiat olkuski";2526,68;
1212011;"Bukowno (1)";3188,30;
1212032;"Bolesław (2)";3396,92;
1212042;"Klucze (2)";2626,17;
1212053;"Olkusz (3)";2269,70;
1212062;"Trzyciąż (2)";2904,11;
1212073;"Wolbrom (3)";2311,03;
1213000;"Powiat oświęcimski";2701,83;
1213011;"Oświęcim (1)";3182,69;
1213023;"Brzeszcze (3)";2340,84;
1213033;"Chełmek (3)";2257,70;
1213043;"Kęty (3)";2256,24;
1213052;"Osiek (2)";2762,93;
1213062;"Oświęcim (2)";2322,35;
1213072;"Polanka Wielka (2)";2369,34;
1213082;"Przeciszów (2)";2665,98;
1213093;"Zator (3)";4585,47;
1214000;"Powiat proszowicki";2941,82;
1214012;"Koniusza (2)";2664,94;
1214022;"Koszyce (2)";3235,74;
1214033;"Nowe Brzesko (3)";3795,19;
1214042;"Pałecznica (2)";4167,15;
1214053;"Proszowice (3)";2470,02;
1214062;"Radziemice (2)";2677,66;
1215000;"Powiat suski";2702,86;
1215011;"Jordanów (1)";2819,14;
1215021;"Sucha Beskidzka (1)";2542,07;
1215032;"Budzów (2)";2752,64;
1215042;"Bystra-Sidzina (2)";2802,82;
1215052;"Jordanów (2)";2655,77;
1215063;"Maków Podhalański (3)";2557,99;
1215072;"Stryszawa (2)";2642,85;
1215082;"Zawoja (2)";2886,49;
1215092;"Zembrzyce (2)";3009,03;
1216000;"Powiat tarnowski";2882,82;
1216013;"Ciężkowice (3)";3332,16;
1216022;"Gromnik (2)";3188,64;
1216032;"Lisia Góra (2)";2618,91;
1216042;"Pleśna (2)";3333,08;
1216053;"Radłów (3)";2591,73;
1216063;"Ryglice (3)";3053,04;
1216072;"Rzepiennik Strzyżewski (2)";3146,88;
1216082;"Skrzyszów (2)";2483,93;
1216092;"Tarnów (2)";2514,35;
1216103;"Tuchów (3)";2600,41;
1216112;"Wierzchosławice (2)";3980,70;
1216122;"Wietrzychowice (2)";2833,35;
1216133;"Wojnicz (3)";2479,98;
1216143;"Zakliczyn (3)";3058,98;
1216153;"Żabno (3)";2846,65;
1216162;"Szerzyny (2)";3098,01;
1217000;"Powiat tatrzański";2963,74;
1217011;"Zakopane (1)";3278,47;
1217022;"Biały Dunajec (2)";2422,99;
1217032;"Bukowina Tatrzańska (2)";2867,72;
1217042;"Kościelisko (2)";3025,78;
1217052;"Poronin (2)";2583,08;
1218000;"Powiat wadowicki";2568,10;
1218013;"Andrychów (3)";2362,84;
1218022;"Brzeźnica (2)";2454,92;
1218033;"Kalwaria Zebrzydowska (3)";2455,44;
1218042;"Lanckorona (2)";4905,80;
1218052;"Mucharz (2)";3221,51;
1218062;"Spytkowice (2)";2507,26;
1218072;"Stryszów (2)";2477,76;
1218082;"Tomice (2)";2288,65;
1218093;"Wadowice (3)";2413,05;
1218102;"Wieprz (2)";2969,76;
1219000;"Powiat wielicki";3155,16;
1219012;"Biskupice (2)";2548,78;
1219022;"Gdów (2)";2693,60;
1219032;"Kłaj (2)";2395,69;
1219043;"Niepołomice (3)";4835,55;
1219053;"Wieliczka (3)";2785,10;
1261000;"Powiat m.Kraków";4400,30;
1261011;"Kraków (1)";4400,30;
1262000;"Powiat m.Nowy Sącz";4714,88;
1262011;"Nowy Sącz (1)";4714,88;
1263000;"Powiat m.Tarnów";4264,35;
1263011;"Tarnów (1)";4264,35;
1400000;"MAZOWIECKIE";4275,61;
1401000;"Powiat białobrzeski";2954,30;
1401013;"Białobrzegi (3)";2813,24;
1401022;"Promna (2)";2702,64;
1401032;"Radzanów (2)";3568,75;
1401042;"Stara Błotnica (2)";2741,77;
1401052;"Stromiec (2)";2921,08;
1401063;"Wyśmierzyce (3)";3577,42;
1402000;"Powiat ciechanowski";2797,77;
1402011;"Ciechanów (1)";2555,72;
1402022;"Ciechanów (2)";2295,65;
1402033;"Glinojeck (3)";4201,66;
1402042;"Gołymin-Ośrodek (2)";2612,53;
1402052;"Grudusk (2)";3633,80;
1402062;"Ojrzeń (2)";3415,26;
1402072;"Opinogóra Górna (2)";2701,03;
1402082;"Regimin (2)";2769,79;
1402092;"Sońsk (2)";2588,18;
1403000;"Powiat garwoliński";2545,43;
1403011;"Garwolin (1)";2653,22;
1403021;"Łaskarzew (1)";3020,12;
1403032;"Borowie (2)";3102,87;
1403042;"Garwolin (2)";2198,21;
1403052;"Górzno (2)";2549,12;
1403062;"Łaskarzew (2)";2741,70;
1403072;"Maciejowice (2)";2932,39;
1403082;"Miastków Kościelny (2)";2571,10;
1403092;"Parysów (2)";2376,25;
1403103;"Pilawa (3)";2182,05;
1403112;"Sobolew (2)";2620,07;
1403122;"Trojanów (2)";2344,87;
